"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/chamokh/posts/10231421942032142","Happy Birthday ♥️","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231421933791936","Happy Birthday, Chamok!","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421845789736","Happy Birthday 💕💕","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421838149545","Happy birthday dosto","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421834469453","Happy Birthday 🎉🎈🎊","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421820149095","শুভ জন্মদিন চমকাই। অনেক দোয়া ও ভালবাসা 🥰","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421783068168","শুভ জন্মদিবস বন্ধু","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421772387901","Happy Birthday 💐 Bhaiya❤️","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421755067468","Happy Birthday 🎊🎉🎁","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421747827287","Happy Birthday | Stay Blessed Chamok","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421735266973","জন্মদিনের অনেক শুভেচ্ছা! আপনার এক্সিলেন্স দিয়ে আমাদের প্রতিনিয়ত সমৃদ্ধ করতে থাকুন!","4","0","0"
,"https://www.facebook.com/chamokh/posts/10231421664265198","শুভ জন্মদিন ভাইয়া❤️","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421651344875","শুভ জন্মদিন ভাই.. ❤️❤️","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421636944515","জন্মদিনে অনেক অনেক অনেক শুভেচ্ছা","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231421571902889","Happy Birthday vaiya❤️🎉🎊🎂","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421549502329","Happy Birthday Vaiya.","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421534381951","ভাইয়া, নদীর জলে জোছনার ঝিলমিল করা আলোর ভালোবাসা। মন থেকে দোয়া করি বরাবরের মতো আপনার ভাবনার আলো আমাদের চারপাশের আঁধারকে সরিয়ে দেবে৷ শিক্ষার শুদ্ধ আলোয় আলোকিত হয়ে উঠবে আমাদের ভুবন। 

শুভ জন্মতিথি প্রিয় চমক ভাই ❤","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231421491020867","","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421460460103","Happy Birthday bondhu..  Stay blessed","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421421299124","Happy Birthday bhaiya 🎉🎂","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421409658833","Happy Birthday!🎉","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231421348017292","শুভ জন্মদিন প্রিয় চমক।","2","0","0"
,"https://www.facebook.com/chamokh/posts/10231421317616532","Happy Birthday bondhu🎂🎁🎊","2","1","0"
,"https://www.facebook.com/chamokh/posts/10231421288935815","Happy Birthday Chamok Vai 🎈🎂🎁","1","0","0"
,"https://www.facebook.com/chamokh/posts/10231421278335550","Happy Birthday, Chamok!Wish you all the best.","2","1","0"
